,precision,recall,f1-score,support
0,1.0,1.0,1.0,400672.0
1,1.0,1.0,1.0,6016.0
2,1.0,1.0,1.0,56692.0
3,1.0,1.0,1.0,57736.0
4,1.0,1.0,1.0,24177.0
5,1.0,1.0,1.0,25490.0
6,1.0,1.0,1.0,105848.0
7,1.0,1.0,1.0,9040.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,685671.0
weighted avg,1.0,1.0,1.0,685671.0
